description,genre,imdb_url,img_url,movie_id,title,users_rating,year
A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,"Action,Adventure,Comedy",https://www.imdb.com/title/tt0112760/,"https://m.media-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112760,Cutthroat Island,5.6,1995
"A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","Biography,Drama,History",https://www.imdb.com/title/tt0113987/,"https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113987,Nixon,7.1,1995
"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Animation,Adventure,Drama,Family,History",https://www.imdb.com/title/tt0112453/,"https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112453,Balto,7.1,1995
James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.,"Action,Adventure,Thriller",https://www.imdb.com/title/tt0113189/,"https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113189,GoldenEye,7.2,1995
Mel Brooks' parody of the classic vampire story and its famous film adaptations.,"Comedy,Fantasy,Horror",https://www.imdb.com/title/tt0112896/,"https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112896,Dracula: Dead and Loving It,5.8,1995
"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.","Crime,Drama",https://www.imdb.com/title/tt0112641/,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112641,Casino,8.2,1995
Four interlocking tales that take place in a fading hotel on New Year's Eve.,Comedy,https://www.imdb.com/title/tt0113101/,"https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113101,Four Rooms,6.8,1995
"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","Adventure,Comedy,Crime",https://www.imdb.com/title/tt0112281/,"https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112281,Ace Ventura: When Nature Calls,6.4,1995
"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.","Drama,Romance",https://www.imdb.com/title/tt0114388/,"https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114388,Sense and Sensibility,7.7,1995
An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"Drama,Mystery,Thriller",https://www.imdb.com/title/tt0112722/,"https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112722,Copycat,6.6,1995
"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.","Action,Comedy,Crime,Drama,Thriller",https://www.imdb.com/title/tt0113845/,"https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113845,Money Train,5.6,1995
Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"Action,Crime,Thriller",https://www.imdb.com/title/tt0112401/,"https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR12,0,182,268_AL__QL50.jpg",112401,Assassins,6.3,1995
"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","Drama,Romance",https://www.imdb.com/title/tt0113627/,"https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113627,Leaving Las Vegas,7.5,1995
An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,"Drama,Fantasy,Mystery,Sci-Fi,Thriller",https://www.imdb.com/title/tt0114168/,"https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114168,Powder,6.6,1995
"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.","Drama,Romance",https://www.imdb.com/title/tt0114057/,"https://m.media-amazon.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1_UY268_CR4,0,182,268_AL__QL50.jpg",114057,Othello,6.9,1995
"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.","Comedy,Crime,Thriller",https://www.imdb.com/title/tt0113161/,"https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113161,Get Shorty,6.9,1995
Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,"Comedy,Drama,Romance",https://www.imdb.com/title/tt0114011/,"https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114011,Now and Then,6.8,1995
"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",Drama,https://www.imdb.com/title/tt0114117/,"https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_UY268_CR1,0,182,268_AL__QL50.jpg",114117,Persuasion,7.7,
"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Fantasy,Sci-Fi",https://www.imdb.com/title/tt0112682/,"https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR7,0,182,268_AL__QL50.jpg",112682,The City of Lost Children,7.6,1995
A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,"Crime,Drama,History,Romance,Thriller",https://www.imdb.com/title/tt0115012/,"https://m.media-amazon.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg",115012,Shanghai Triad,7.2,1995
An ex-Marine turned teacher struggles to connect with her students in an inner city school.,"Biography,Drama",https://www.imdb.com/title/tt0112792/,"https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112792,Dangerous Minds,6.5,1995
"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","Mystery,Sci-Fi,Thriller",https://www.imdb.com/title/tt0114746/,"https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114746,Twelve Monkeys,8.0,1995
"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.","Comedy,Drama,Family",https://www.imdb.com/title/tt0112431/,"https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112431,Babe,6.8,1995
"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...","Comedy,Family,Romance",https://www.imdb.com/title/tt0113442/,"https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113442,It Takes Two,5.8,1995
"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.","Comedy,Romance",https://www.imdb.com/title/tt0112697/,"https://m.media-amazon.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112697,Clueless,6.8,1995
"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","Action,Crime,Drama,Thriller,War",https://www.imdb.com/title/tt0112819/,"https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112819,Dead Presidents,6.9,1995
"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.","Crime,Drama",https://www.imdb.com/title/tt0112818/,"https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112818,Dead Man Walking,7.5,1995
"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.","Drama,Thriller",https://www.imdb.com/title/tt0112749/,"https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg",112749,"Cry, the Beloved Country",6.9,1995
"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","Biography,Drama,History,Romance",https://www.imdb.com/title/tt0114272/,"https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114272,Restoration,6.7,1995
Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,"Comedy,Drama,Romance",https://www.imdb.com/title/tt0113347/,"https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113347,How to Make an American Quilt,6.2,1995
Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,"Action,Adventure,Fantasy,Sci-Fi,Thriller",https://www.imdb.com/title/tt0113855/,"https://m.media-amazon.com/images/M/MV5BNzJhYjYxMTctNmY4My00NGIzLThmN2MtYjgwMjlmZWNjMTJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113855,Mortal Kombat,5.8,1995
"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime,Drama,Mystery,Thriller",https://www.imdb.com/title/tt0114369/,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114369,Se7en,8.6,1995
The classic Shakespearean play about a murderously scheming King staged in an alternative fascist England setting.,"Drama,Sci-Fi,War",https://www.imdb.com/title/tt0114279/,"https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114279,Richard III,7.5,1995
A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,"Comedy,Crime,Drama",https://www.imdb.com/title/tt0114681/,"https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114681,To Die For,6.8,1995
"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.","Drama,Romance",https://www.imdb.com/title/tt0114916/,"https://m.media-amazon.com/images/M/MV5BNmZmNzc3ZWYtNTI2ZS00NWFlLWFkMWMtMGUxN2UxZjljZTY5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL__QL50.jpg",114916,When Night Is Falling,6.6,1995
An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,"Animation,Adventure,Drama,Family,Musical,Romance",https://www.imdb.com/title/tt0114148/,"https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114148,Pocahontas,6.7,1995
"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime,Mystery,Thriller",https://www.imdb.com/title/tt0114814/,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",114814,The Usual Suspects,8.6,1995
"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.","Comedy,Fantasy,Romance",https://www.imdb.com/title/tt0113819/,"https://m.media-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113819,Mighty Aphrodite,7.1,1995
"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.","Comedy,Family,Sport",https://www.imdb.com/title/tt0112499/,"https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",112499,The Big Green,5.5,1995
"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.","Comedy,Drama,Romance",https://www.imdb.com/title/tt0113321/,"https://m.media-amazon.com/images/M/MV5BMWU3NmFlNzAtMDM0Zi00OGM0LTgxN2EtZDVlNTBmYWYzNWUzXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113321,Home for the Holidays,6.6,1995
"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...","Drama,Music",https://www.imdb.com/title/tt0113158/,"https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113158,Georgia,6.5,1995
Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,Drama,https://www.imdb.com/title/tt0110299/,"https://m.media-amazon.com/images/M/MV5BNjlmZmQ0ZGUtNTBjYy00ZTg3LWE1NmMtNDAyNDI2Zjc4ZDViXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",110299,Lamerica,7.6,1994
Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,"Biography,Comedy,Drama,Romance",https://www.imdb.com/title/tt0110877/,"https://m.media-amazon.com/images/M/MV5BYWZmNjkzOGItNmI4ZS00MDQ1LThhMzQtOTI3MThjOTI4Njg2XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",110877,Il Postino: The Postman,7.7,1994
"Omri (Hal Scardino), a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother...","Drama,Family,Fantasy",https://www.imdb.com/title/tt0113419/,"https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113419,The Indian in the Cupboard,6.0,1995
"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","Crime,Drama,Thriller",https://www.imdb.com/title/tt0116260/,"https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",116260,Eye for an Eye,6.2,1996
A frustrated composer finds fulfillment as a high school music teacher.,"Drama,Music",https://www.imdb.com/title/tt0113862/,"https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113862,Mr. Holland's Opus,7.3,1995
"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank...","Comedy,Crime,Romance",https://www.imdb.com/title/tt0118002/,"https://m.media-amazon.com/images/M/MV5BY2YwZjVkMjItYjY4Yy00M2QyLTg0Y2MtYmFiNTgzMjNmMmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",118002,Two If by Sea,5.2,1996
"""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""...","Comedy,Crime",https://www.imdb.com/title/tt0116126/,"https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.6,1996
"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Comedy,https://www.imdb.com/title/tt0115683/,"https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",115683,Bio-Dome,4.4,1996
"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...","Action,Sci-Fi,Thriller",https://www.imdb.com/title/tt0116839/,"https://m.media-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",116839,Lawnmower Man 2: Beyond Cyberspace,2.4,1996
"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",Comedy,https://www.imdb.com/title/tt0113149/,"https://m.media-amazon.com/images/M/MV5BMTQyNzIyMjI1MV5BMl5BanBnXkFtZTgwMjkyMzUzMzE@._V1_UY268_CR9,0,182,268_AL__QL50.jpg",113149,French Twist,6.4,1995
"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night.","Comedy,Drama",https://www.imdb.com/title/tt0113118/,"https://m.media-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",113118,Friday,7.3,1995
"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","Action,Crime,Horror",https://www.imdb.com/title/tt0116367/,"https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",116367,From Dusk Till Dawn,7.3,1996
